Store,Brand,Type,Gender,Size,Color,Category,Sales Price,Date,Time,Month
Tokyo,Asics,WB1820,Female,42,Blue,Pants,€ 89.00,7/15/2015,7:32 AM,7
Tokyo,Asics,Kayano Single Tab,Unisex,42-44,Blue,Socks,€ 24.99,7/15/2015,7:33 AM,7
Tokyo,Asics,WB1820,Female,39,Blue,Pants,€ 89.00,7/15/2015,8:48 AM,7
Tokyo,Asics,Nimbus 17,Male,39,Blue,Shoe,€ 128.00,7/15/2015,11:34 AM,7
Tokyo,Asics,WB1820,Female,40,Blue,Pants,€ 89.00,7/15/2015,11:41 AM,7
Tokyo,Asics,WB1820,Female,41,Blue,Pants,€ 89.00,7/15/2015,12:41 PM,7
Tokyo,Nike,Air Zoom,Male,42,Blue,Shoe,€ 230.00,7/15/2015,1:30 PM,7
Tokyo,Asics,Quick Light Cushion,Unisex,36-38,Blue,Socks,€ 19.00,7/15/2015,2:52 PM,7
Tokyo,Asics,Hera Deux Single Tab,Female,46-48,Blue,Socks,€ 12.99,7/15/2015,4:03 PM,7
Tokyo,Asics,Quick Light Cushion,Unisex,40-42,Blue,Socks,€ 19.00,7/15/2015,8:52 PM,7
Tokyo,Nike,Pro Indy,Female,80F,Blue,Bra,€ 123.00,7/15/2015,9:52 AM,7
Tokyo,Nike,Hyper Elite Crew,Unisex,44-46,Blue,Socks,€ 20.00,7/15/2015,10:20 AM,7
Tokyo,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,38-40,Blue,Socks,€ 21.00,7/15/2015,10:52 AM,7
Tokyo,Asics,Quick Light Cushion,Unisex,46-48,Blue,Socks,€ 19.00,7/15/2015,12:11 PM,7
Tokyo,Nike,Pro Fierce,Female,90B,Blue,Bra,€ 149.00,7/15/2015,1:25 PM,7
Tokyo,Nike,Pro Fierce,Female,90F,Blue,Bra,€ 149.00,7/15/2015,1:38 PM,7
Tokyo,Nike,Pro Hero,Female,65D,Blue,Bra,€ 99.00,7/15/2015,2:58 PM,7
Tokyo,Nike,Hyper Elite Crew,Unisex,40-42,Blue,Socks,€ 20.00,7/15/2015,3:11 PM,7
Tokyo,Nike,Hyper Elite Crew,Unisex,42-44,Blue,Socks,€ 20.00,7/15/2015,3:47 PM,7
Tokyo,Asics,Hera Deux Single Tab,Female,36-38,Blue,Socks,€ 12.99,7/15/2015,10:33 AM,7
Tokyo,Nike,Free 5.0,Female,42,Blue,Shoe,€ 239.00,7/15/2015,2:13 PM,7
Tokyo,Asics,Quick Light Cushion,Unisex,42-44,Blue,Socks,€ 19.00,7/15/2015,6:33 PM,7
Tokyo,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,40-42,Blue,Socks,€ 21.00,7/15/2015,8:39 PM,7
Tokyo,Asics,Quick Light Cushion,Unisex,44-46,Blue,Socks,€ 19.00,7/15/2015,11:28 PM,7
