Store,Brand,Type,Gender,Size,Color,Category,Sales Price,Date,Time,Month
Tokyo,Asics,WB1820,Female,46,Green,Pants,€ 89.00,7/15/2015,11:05 AM,7
Tokyo,Nike,Hyper Elite Crew,Unisex,38-40,Green,Socks,€ 20.00,7/15/2015,2:54 PM,7
Tokyo,Asics,Hera Deux Single Tab,Female,40-42,Green,Socks,€ 12.99,7/15/2015,2:55 PM,7
Tokyo,Asics,Gel Quantics ,Male,37,Green,Shoe,€ 120.00,7/15/2015,3:59 PM,7
Tokyo,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,36-38,Green,Socks,€ 21.00,7/15/2015,9:05 PM,7
Tokyo,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,38-40,Green,Socks,€ 21.00,7/15/2015,10:00 AM,7
Tokyo,Nike,Pro Fierce,Female,80C,Green,Bra,€ 149.00,7/15/2015,10:10 AM,7
Tokyo,Nike,Pro Fierce,Female,85F,Green,Bra,€ 149.00,7/15/2015,11:20 AM,7
Tokyo,Nike,Free 5.0,Female,38,Green,Shoe,€ 239.00,7/15/2015,11:28 AM,7
Tokyo,Asics,Quick Light Cushion,Unisex,36-38,Green,Socks,€ 19.00,7/15/2015,12:42 PM,7
Tokyo,Asics,Kayano Single Tab,Unisex,36-38,Green,Socks,€ 24.99,7/15/2015,12:42 PM,7
Tokyo,Asics,Kayano Single Tab,Unisex,42-44,Green,Socks,€ 24.99,7/15/2015,1:28 PM,7
Tokyo,Asics,WB1820,Female,45,Green,Pants,€ 89.00,7/15/2015,2:55 PM,7
Tokyo,Asics,WB1820,Female,45,Green,Pants,€ 89.00,7/15/2015,8:25 AM,7
Tokyo,Nike,Pro Classic,Female,70F,Green,Bra,€ 100.00,7/15/2015,8:41 AM,7
Tokyo,Asics,Quick Light Cushion,Unisex,38-40,Green,Socks,€ 19.00,7/15/2015,1:04 PM,7
Tokyo,Nike,Free 5.0,Female,43,Green,Shoe,€ 239.00,7/15/2015,4:45 PM,7
Tokyo,Asics,Quick Light Cushion,Unisex,42-44,Green,Socks,€ 19.00,7/15/2015,5:34 PM,7
Tokyo,Asics,Kayano Single Tab,Unisex,44-46,Green,Socks,€ 24.99,7/15/2015,6:12 PM,7
Tokyo,Asics,WB1820,Female,46,Green,Pants,€ 89.00,7/15/2015,8:21 PM,7
Tokyo,Nike,Dri-Fit No-Show,Unisex,38-40,Green,Socks,€ 20.00,7/16/2015,9:36 AM,7
Tokyo,Asics,Kayano Single Tab,Unisex,42-44,Green,Socks,€ 24.99,7/16/2015,4:07 PM,7
Tokyo,Asics,Kayano Single Tab,Unisex,36-38,Green,Socks,€ 24.99,7/16/2015,6:10 PM,7
Tokyo,Asics,Kayano Single Tab,Unisex,44-46,Green,Socks,€ 24.99,7/16/2015,6:38 PM,7
Tokyo,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,44-46,Green,Socks,€ 21.00,7/16/2015,6:56 PM,7
Tokyo,Nike,Pro Hero,Female,65D,Green,Bra,€ 99.00,7/16/2015,10:10 AM,7
Tokyo,Asics,Hera Deux Single Tab,Female,44-46,Green,Socks,€ 12.99,7/16/2015,11:45 AM,7
Tokyo,Asics,WB1820,Female,39,Green,Pants,€ 89.00,7/16/2015,12:42 PM,7
Tokyo,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,46-48,Green,Socks,€ 21.00,7/16/2015,1:46 PM,7
Tokyo,Nike,Pro Fierce,Female,65E,Green,Bra,€ 149.00,7/16/2015,3:16 PM,7
Tokyo,Nike,Hyper Elite Crew,Unisex,44-46,Green,Socks,€ 20.00,7/16/2015,3:42 PM,7
Tokyo,Nike,Pro Indy,Female,70F,Green,Bra,€ 123.00,7/16/2015,4:03 PM,7
Tokyo,Nike,Pro Hero,Female,85F,Green,Bra,€ 99.00,7/16/2015,4:26 PM,7
Tokyo,Nike,Dri-Fit No-Show,Unisex,38-40,Green,Socks,€ 20.00,7/16/2015,4:49 PM,7
Tokyo,Nike,Pro Indy,Female,70D,Green,Bra,€ 123.00,7/16/2015,11:00 AM,7
Tokyo,Asics,WB1820,Female,43,Green,Pants,€ 89.00,7/16/2015,11:11 AM,7
Tokyo,Nike,Pro Fierce,Female,65B,Green,Bra,€ 149.00,7/16/2015,12:15 PM,7
Tokyo,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,40-42,Green,Socks,€ 21.00,7/16/2015,12:31 PM,7
Tokyo,Adidas,Ultra Boost,Male,44,Green,Shoe,€ 139.00,7/16/2015,11:50 AM,7
Tokyo,Asics,WB1820,Female,36,Green,Pants,€ 89.00,7/17/2015,12:21 PM,7
Tokyo,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,36-38,Green,Socks,€ 21.00,7/17/2015,1:59 PM,7
Tokyo,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,38-40,Green,Socks,€ 21.00,7/17/2015,3:37 PM,7
