Store,Brand,Type,Gender,Size,Color,Category,Sales Price,Date,Time,Month
Tokyo,Asics,WB1820,Female,37,Pink,Pants,€ 89.00,7/15/2015,7:52 AM,7
Tokyo,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,38-40,Pink,Socks,€ 21.00,7/15/2015,10:45 AM,7
Tokyo,Nike,Pro Fierce,Female,70F,Pink,Bra,€ 149.00,7/15/2015,11:51 AM,7
Tokyo,Nike,Pro Hero,Female,80A,Pink,Bra,€ 99.00,7/15/2015,5:24 PM,7
Tokyo,Asics,WB1820,Female,38,Pink,Pants,€ 89.00,7/15/2015,7:36 PM,7
Tokyo,Nike,Dri-Fit No-Show,Unisex,40-42,Pink,Socks,€ 20.00,7/15/2015,7:43 PM,7
Tokyo,Nike,Dri-Fit No-Show,Unisex,42-44,Pink,Socks,€ 20.00,7/15/2015,8:13 PM,7
Tokyo,Asics,Cummulus 17,Male,38,Pink,Shoe,€ 159.00,7/15/2015,8:55 PM,7
Tokyo,Nike,Pro Indy,Female,80E,Pink,Bra,€ 123.00,7/15/2015,11:38 AM,7
Tokyo,Nike,Hyper Elite Crew,Unisex,44-46,Pink,Socks,€ 20.00,7/15/2015,12:01 PM,7
Tokyo,Asics,WB1820,Female,38,Pink,Pants,€ 89.00,7/15/2015,12:40 PM,7
Tokyo,Asics,WB1820,Female,39,Pink,Pants,€ 89.00,7/15/2015,1:05 PM,7
Tokyo,Asics,WB1820,Female,41,Pink,Pants,€ 89.00,7/15/2015,1:16 PM,7
Tokyo,Asics,Kayano Single Tab,Unisex,44-46,Pink,Socks,€ 24.99,7/15/2015,2:32 PM,7
Tokyo,Asics,Hera Deux Single Tab,Female,38-40,Pink,Socks,€ 12.99,7/15/2015,3:21 PM,7
Tokyo,Asics,Quick Light Cushion,Unisex,42-44,Pink,Socks,€ 19.00,7/15/2015,4:38 PM,7
Tokyo,Asics,WB1820,Female,37,Pink,Pants,€ 89.00,7/15/2015,8:38 AM,7
