Store,Brand,Type,Gender,Size,Color,Category,Sales Price,Date,Time,Month
Tokyo,Asics,WB1820,Female,45,Yellow,Pants,€ 89.00,7/15/2015,1:01 PM,7
Tokyo,Asics,WB1820,Female,45,Yellow,Pants,€ 89.00,7/15/2015,7:30 PM,7
Tokyo,Nike,Pro Fierce,Female,80C,Yellow,Bra,€ 149.00,7/15/2015,7:56 PM,7
Tokyo,Asics,WB1820,Female,38,Yellow,Pants,€ 89.00,7/15/2015,10:52 AM,7
Tokyo,Adidas,Ultra Boost,Male,41,Yellow,Shoe,€ 139.00,7/15/2015,12:19 PM,7
Tokyo,Asics,Nimbus 17,Male,39,Yellow,Shoe,€ 128.00,7/15/2015,2:02 PM,7
Tokyo,Nike,Pro Hero,Female,70D,Yellow,Bra,€ 99.00,7/15/2015,4:41 PM,7
Tokyo,Asics,WB1820,Female,36,Yellow,Pants,€ 89.00,7/15/2015,8:48 AM,7
Tokyo,Nike,Pro Classic,Female,70E,Yellow,Bra,€ 100.00,7/15/2015,2:28 PM,7
Tokyo,Asics,WB1820,Female,44,Yellow,Pants,€ 89.00,7/15/2015,2:31 PM,7
Tokyo,Nike,Pro Hero,Female,70D,Yellow,Bra,€ 99.00,7/15/2015,3:34 PM,7
Tokyo,Asics,WB1820,Female,43,Yellow,Pants,€ 89.00,7/15/2015,10:04 PM,7
Tokyo,Nike,Air Zoom,Male,44,Yellow,Shoe,€ 220.00,7/16/2015,12:41 PM,7
Tokyo,Asics,WB1820,Female,39,Yellow,Pants,€ 89.00,7/16/2015,9:48 PM,7
Tokyo,Asics,Cummulus 17,Male,39,Yellow,Shoe,€ 159.00,7/16/2015,11:32 AM,7
Tokyo,Asics,WB1820,Female,46,Yellow,Pants,€ 89.00,7/16/2015,5:30 PM,7
Tokyo,Nike,Pro Fierce,Female,75D,Yellow,Bra,€ 149.00,7/16/2015,5:35 PM,7
Tokyo,Asics,WB1820,Female,43,Yellow,Pants,€ 89.00,7/16/2015,12:21 PM,7
Tokyo,Asics,WB1820,Female,40,Yellow,Pants,€ 89.00,7/16/2015,3:12 PM,7
Tokyo,Adidas,Rocket Boost,Male,39,Yellow,Shoe,€ 110.00,7/16/2015,11:30 AM,7
Tokyo,Adidas,Boston 5,Male,40,Yellow,Shoe,€ 125.00,7/16/2015,3:04 PM,7
Tokyo,Adidas,Rocket Boost,Male,39,Yellow,Shoe,€ 110.00,7/16/2015,11:07 AM,7
Tokyo,Asics,Nimbus 17,Male,46,Yellow,Shoe,€ 128.00,7/17/2015,9:48 AM,7
Tokyo,Nike,Free 5.0,Female,39,Yellow,Shoe,€ 239.00,7/17/2015,9:44 AM,7
Tokyo,Asics,WB1820,Female,36,Yellow,Pants,€ 89.00,7/17/2015,11:48 AM,7
Tokyo,Nike,Air Zoom,Male,45,Yellow,Shoe,€ 220.00,7/17/2015,3:39 PM,7
Tokyo,Nike,Air Zoom,Female,43,Yellow,Shoe,€ 230.00,7/17/2015,4:12 PM,7
Tokyo,Nike,Pro Fierce,Female,85C,Yellow,Bra,€ 149.00,7/17/2015,4:39 PM,7
Tokyo,Asics,WB1820,Female,36,Yellow,Pants,€ 89.00,7/17/2015,9:54 AM,7
Tokyo,Asics,WB1820,Female,39,Yellow,Pants,€ 89.00,7/17/2015,7:48 PM,7
Tokyo,Asics,WB1820,Female,44,Yellow,Pants,€ 89.00,7/17/2015,10:00 PM,7
Tokyo,Adidas,Boston 5,Female,36,Yellow,Shoe,€ 120.00,7/17/2015,11:35 AM,7
Tokyo,Nike,Pro Fierce,Female,75C,Yellow,Bra,€ 149.00,7/18/2015,7:53 AM,7
Tokyo,Nike,Air Zoom,Male,40,Yellow,Shoe,€ 230.00,7/18/2015,12:34 PM,7
Tokyo,Adidas,Rocket Boost,Male,37,Yellow,Shoe,€ 100.00,7/18/2015,2:52 PM,7
Tokyo,Asics,Nimbus 17,Male,39,Yellow,Shoe,€ 128.00,7/18/2015,4:43 PM,7
Tokyo,Asics,WB1820,Female,40,Yellow,Pants,€ 89.00,7/18/2015,7:35 PM,7
Tokyo,Asics,Cummulus 17,Male,46,Yellow,Shoe,€ 159.00,7/18/2015,10:33 PM,7
Tokyo,Asics,WB1820,Female,43,Yellow,Pants,€ 89.00,7/18/2015,10:12 AM,7
Tokyo,Asics,WB1820,Female,41,Yellow,Pants,€ 89.00,7/18/2015,2:10 PM,7
Tokyo,Asics,WB1820,Female,43,Yellow,Pants,€ 89.00,7/18/2015,2:17 PM,7
Tokyo,Asics,WB1820,Female,36,Yellow,Pants,€ 89.00,7/18/2015,8:39 AM,7
Tokyo,Nike,Pro Indy,Female,80F,Yellow,Bra,€ 123.00,7/18/2015,10:49 AM,7
Tokyo,Adidas,Rocket Boost,Male,40,Yellow,Shoe,€ 110.00,7/18/2015,1:13 PM,7
Tokyo,Nike,Pro Classic,Female,90F,Yellow,Bra,€ 100.00,7/19/2015,11:54 PM,7
Tokyo,Asics,WB1820,Female,36,Yellow,Pants,€ 89.00,7/19/2015,11:17 AM,7
Tokyo,Asics,WB1820,Female,36,Yellow,Pants,€ 89.00,7/19/2015,11:24 AM,7
Tokyo,Asics,WB1820,Female,37,Yellow,Pants,€ 89.00,7/19/2015,10:53 AM,7
Tokyo,Nike,Pro Fierce,Female,90E,Yellow,Bra,€ 149.00,7/19/2015,4:03 PM,7
Tokyo,Nike,Pro Fierce,Female,90B,Yellow,Bra,€ 149.00,7/19/2015,6:12 PM,7
